DO_ID	ORPHANET_ID
DOID:0110973	2565
DOID:0090006	1475
DOID:0090005	800
DOID:0090004	1159
DOID:0090003	1496
DOID:0090007	2268
DOID:0110970	93384
DOID:0110968	93382
DOID:0110967	93394
DOID:0110965	93396
DOID:0110964	93388
DOID:0110963	93395
DOID:0110962	1278
DOID:0110961	309252
DOID:0110960	85212
DOID:0090020	2440
DOID:0110957	77259
DOID:0090024	71271
DOID:0090023	2440
DOID:0090022	2440
DOID:0090021	2440
DOID:0090028	96
DOID:0090027	2440
DOID:0090026	2440
DOID:0090025	2440
DOID:0110959	77261
DOID:2935	167
DOID:0090029	1451
DOID:0110958	77260
DOID:0110946	178389
DOID:0090013	331206
DOID:0090012	275
DOID:0090017	257
DOID:0090016	86841
DOID:0090015	3258
DOID:0090014	169154
DOID:0110949	896
DOID:0090019	2882
DOID:0110948	894
DOID:0090018	32960
DOID:0090042	370103
DOID:0090041	98805
DOID:0090046	306734
DOID:0090045	98811
DOID:0090044	53583
DOID:0090043	98808
DOID:0090049	98810
DOID:0090048	210571
DOID:0090047	98810
DOID:0090031	300
DOID:0090030	199247
DOID:0090035	210566
DOID:0090034	36899
DOID:0090032	1865
DOID:0090039	98806
DOID:0090038	99657
DOID:0090037	98807
DOID:0090070	432
DOID:0090070	478
DOID:0090064	300359
DOID:0090062	47045
DOID:0090061	47045
DOID:0090068	643
DOID:0090067	2854
DOID:0090065	47045
DOID:0050880	96169
DOID:0050886	101000
DOID:0090060	1667
DOID:0090053	98809
DOID:0090052	420485
DOID:0090051	420492
DOID:0090050	464440
DOID:0090057	53351
DOID:0090056	71517
DOID:0090055	329466
DOID:0090054	98809
DOID:0090058	256
DOID:0060316	2750
DOID:12118	99931
DOID:0060318	520
DOID:0060313	95430
DOID:14780	2332
DOID:12120	264675
DOID:14791	65
DOID:0060337	66631
DOID:0060336	289902
DOID:0060331	1194
DOID:0060330	3022
DOID:0060333	254913
DOID:0060332	254913
DOID:0060334	99886
DOID:0060348	2323
DOID:14766	93108
DOID:0060349	2526
DOID:0060341	990
DOID:0060346	168572
DOID:8986	2073
DOID:0060359	3128
DOID:0060358	26791
DOID:0060352	261494
DOID:0060354	3204
DOID:0060357	71
DOID:0060356	1493
DOID:14744	94083
DOID:14748	821
DOID:0060362	38
DOID:0060361	307967
DOID:0060364	2065
DOID:0060363	408
DOID:0060366	2136
DOID:14711	323
DOID:14711	93932
DOID:14717	595
DOID:14717	596
DOID:14717	69186
DOID:14717	69189
DOID:0060373	2752
DOID:0060375	2919
DOID:0060374	2753
DOID:0060377	90649
DOID:0060376	2754
DOID:0060378	2755
DOID:0060380	2756
DOID:0060382	141007
DOID:0060381	141000
DOID:0060384	1786
DOID:0060383	1788
DOID:0060386	90280
DOID:0060385	1787
DOID:0060387	50945
DOID:0060391	1587
DOID:0060390	96148
DOID:0060393	261183
DOID:0060392	261120
DOID:0060395	94065
DOID:0060394	199318
DOID:0060397	1596
DOID:0060398	261222
DOID:12185	2794
DOID:12177	1572
DOID:13481	1860
DOID:13481	2655
DOID:13481	93274
DOID:13481	93275
DOID:2861	712
DOID:0090101	439854
DOID:0090100	352740
DOID:0090105	391665
DOID:0090104	98934
DOID:0090103	157941
DOID:0090102	140957
DOID:0090109	428
DOID:0090106	13
DOID:2843	101016
DOID:2843	768
DOID:0090123	35708
DOID:0090122	178345
DOID:0090121	320
DOID:0090120	279943
DOID:0090127	2848
DOID:0090126	308410
DOID:0090125	36383
DOID:0090124	1143
DOID:0090129	156
DOID:0090112	2770
DOID:0090111	163746
DOID:0090110	37042
DOID:0090116	3275
DOID:0090115	94124
DOID:0090113	420741
DOID:0090119	1071
DOID:0090118	3319
DOID:0090117	498277
DOID:0090145	230
DOID:0090144	2143
DOID:0090143	2899
DOID:0090142	212
DOID:0090130	163681
DOID:0090132	208444
DOID:0090132	300573
DOID:0090137	300570
DOID:0060304	241
DOID:0060303	169150
DOID:0060306	2554
DOID:0060305	91489
DOID:0060308	88616
DOID:0060307	178469
DOID:0060300	1695150
DOID:0060302	169150
DOID:0060301	169150
DOID:0060436	1727
DOID:0060435	250994
DOID:0060438	2050
DOID:0060439	470
DOID:0060430	370079
DOID:0060432	217385
DOID:0060431	96078
