DO_ID	SNOMEDCT_ID
DOID:11383	204878001
DOID:11383	204879009
DOID:11383	204882004
DOID:11383	268226005
DOID:11383	367721002
DOID:11383	37501009
DOID:11385	192565006
DOID:11385	229733002
DOID:11385	268734000
DOID:11385	80360005
DOID:11387	192752004
DOID:11387	310671007
DOID:11387	61974008
DOID:12678	154752005
DOID:12678	166702002
DOID:12678	267505006
DOID:12678	66931009
DOID:12679	154752005
DOID:12679	190863003
DOID:12679	267505006
DOID:12679	48638002
DOID:5546	126583006
DOID:4210	134213009
DOID:4210	57606003
DOID:6873	156440000
DOID:6873	189051001
DOID:6873	201091002
DOID:6873	255183007
DOID:6873	2710003
DOID:6873	31069005
DOID:6873	80801001
DOID:12680	7379000
DOID:12683	123053001
DOID:12683	155236001
DOID:12683	186738001
DOID:12683	194356004
DOID:12683	232293008
DOID:12683	34243007
DOID:12683	43680000
DOID:4217	42194009
DOID:11353	155888001
DOID:11353	156977001
DOID:11353	197866008
DOID:11353	197869001
DOID:11353	21853005
DOID:11353	252004007
DOID:11353	268335001
DOID:11354	18109005
DOID:12685	25766007
DOID:10003	155256000
DOID:10003	194421002
DOID:10003	194427003
DOID:10003	232326009
DOID:10003	267770004
DOID:10003	48758008
DOID:10003	60700002
DOID:10003	68467004
DOID:11355	155879005
DOID:11355	197830007
DOID:11355	70650003
DOID:12689	126949007
DOID:12689	154621002
DOID:12689	269643009
DOID:12689	389982003
DOID:12689	985004
DOID:4202	444545003
DOID:4203	126961004
DOID:4203	154549004
DOID:4203	188299003
DOID:4203	363473003
DOID:4203	93726004
DOID:4205	126960003
DOID:4205	154548007
DOID:4205	363472008
DOID:4205	449420002
DOID:5536	10288008
DOID:5536	254653005
DOID:5536	403900000
DOID:11360	186605002
DOID:11360	186606001
DOID:11360	240517002
DOID:11360	240518007
DOID:11360	33670001
DOID:11360	407476002
DOID:11364	155203002
DOID:11364	267748002
DOID:11364	65814009
DOID:12697	38023001
DOID:10035	37754005
DOID:10034	155137002
DOID:10034	193631008
DOID:10034	54552008
DOID:10033	232141000
DOID:10033	255335004
DOID:10033	68158006
DOID:12657	194402005
DOID:12657	77949003
DOID:10031	33325001
DOID:10030	11211003
DOID:10030	390898003
DOID:10030	77690003
DOID:11328	88975006
DOID:11329	38528001
DOID:11329	51404004
DOID:4235	9801004
DOID:5566	42717009
DOID:5566	55818009
DOID:4236	112684005
DOID:4236	189808004
DOID:4236	63264007
DOID:4236	84427001
DOID:4231	128741006
DOID:4231	154614002
DOID:4231	189773000
DOID:4231	302843004
DOID:4231	72079004
DOID:5563	189847002
DOID:5563	19467007
DOID:4233	12622007
DOID:4233	271944004
DOID:4233	402561003
DOID:5565	42717009
DOID:11330	154305002
DOID:11330	266005008
DOID:11330	44653001
DOID:12661	14901003
DOID:4239	302839003
DOID:4239	404056007
DOID:4239	88195001
DOID:10027	154384001
DOID:10027	186885003
DOID:10027	266134000
DOID:10027	266210001
DOID:10027	2844004
DOID:10027	315826004
DOID:10027	316841006
DOID:10027	51928006
DOID:12662	187074005
DOID:12662	187486002
DOID:12662	36866003
DOID:12662	59925007
DOID:12663	10673008
DOID:12663	154402000
DOID:12663	187064007
DOID:12663	187071002
DOID:12663	187075006
DOID:12663	187484004
DOID:12663	191950004
DOID:12663	266217003
DOID:12663	69996000
DOID:13994	240193006
DOID:13994	65976001
