DO_ID	ICD10CM_ID
DOID:0060770	Q20.3
DOID:0060772	Q20.3
DOID:0060775	P78.3
DOID:1921	Q98.0
DOID:1921	Q98.4
DOID:0060787	E75.2
DOID:0060789	E75.2
DOID:0060780	P78.3
DOID:4184	E20.1
DOID:0060782	Q82.4
DOID:0060781	P78.3
DOID:0060784	Q82.4
DOID:0060783	Q82.4
DOID:0060785	E75.2
DOID:10293	H50.01
DOID:576	R80
DOID:576	R80.9
DOID:5340	R41.1
DOID:6676	E23.6
DOID:585	N20
DOID:585	N20.2
DOID:583	D55-D59
DOID:582	R82.3
DOID:10283	C61
DOID:589	D58.9
DOID:7998	E05.9
DOID:7997	E05.9
DOID:5334	N47.2
DOID:5339	D70.4
DOID:593	F40.0
DOID:593	F40.00
DOID:591	F40
DOID:591	F40.9
DOID:559	N10
DOID:557	N08
DOID:557	N28.9
DOID:6692	M53.0
DOID:4038	K29.6
DOID:5364	R91.1
DOID:560	Q07.8
DOID:566	H83.2
DOID:566	H83.2X
DOID:566	H83.2X9
DOID:6683	Q87.1
DOID:6682	M43.1
DOID:6682	M43.10
DOID:6688	D47.9
DOID:6688	D89.82
DOID:4028	L81.7
DOID:4029	K29.7
DOID:574	G64
DOID:571	G56.1
DOID:571	G56.10
DOID:10254	K82.4
DOID:11589	G90.1
DOID:10250	A84.8
DOID:11593	C67.2
DOID:11594	H15.85
DOID:11595	H15.84
DOID:10242	A77.4
DOID:10242	A77.40
DOID:10241	D56
DOID:10241	D56.9
DOID:10236	F65.2
DOID:10235	H50.61
DOID:12899	K11.8
DOID:10272	I44.60
DOID:599	F40.2
DOID:5327	H33.2
DOID:6652	M48.1
DOID:11573	A32
DOID:11573	A32.9
DOID:11574	G00.2
DOID:11577	G83.4
DOID:10264	B26
DOID:10264	B26.9
DOID:10261	H92.1
DOID:10261	H92.10
DOID:6643	M48.2
DOID:6643	M48.20
DOID:11581	H16.25
DOID:6612	D84.8
DOID:6603	M48.3
DOID:538	H51.2
DOID:533	E32
DOID:533	E32.9
DOID:540	H50.8
DOID:540	H50.89
DOID:543	G24
DOID:543	G24.9
DOID:519	I77.6
DOID:518	C63.2
DOID:526	B20
DOID:526	B20-B20
DOID:529	G24.5
DOID:530	H02.9
DOID:12801	E76.22
DOID:12802	E76.0
DOID:12803	E76.29
DOID:12804	E76.210
DOID:12804	E76.219
DOID:12809	H04.03
DOID:1894	H01.1
DOID:1893	H01.13
DOID:1866	M27.1
DOID:1869	I09.2
DOID:0060801	Q87.8
DOID:0060800	Q87.8
DOID:1849	F12.2
DOID:0060802	Q87.8
DOID:0060804	Q87.8
DOID:0060807	Q04.3
DOID:0060809	Q87.8
DOID:0060808	Q87.8
DOID:1858	Q78.1
DOID:1856	M27.8
DOID:0060810	G25.5
DOID:0060812	Q87.8
DOID:0060811	Q87.8
DOID:0060813	Q87.8
DOID:0060816	Q87.8
DOID:0060815	Q87.8
DOID:1883	B19.2
DOID:1883	B19.20
DOID:1882	Q21.1
DOID:0060818	Q87.8
DOID:0060821	Q87.8
DOID:0060820	Q87.8
DOID:0060823	F72
DOID:0060822	Q87.8
DOID:0060825	Q87.8
DOID:0060824	Q87.8
DOID:0060827	F71.1
DOID:0060826	Q87.8
DOID:0060829	Q87.8
DOID:1876	F52.9
DOID:1876	R37
DOID:0060832	E70.3
DOID:11543	H16.31
DOID:0060831	E70.3
DOID:0060834	E70.3
DOID:0060833	E70.3
DOID:4090	R48.1
DOID:4090	R48.2
DOID:0060836	Q11.0
DOID:11547	H18.00
DOID:0060835	Q11.0
DOID:0060838	Q11.0
DOID:0060837	Q15.8
DOID:0060830	Q87.8
DOID:1822	H04.15
DOID:0060839	Q11.0
DOID:11550	H49.0
DOID:1826	G40.9
DOID:1826	G40.909
DOID:1825	G40.A
DOID:11552	H18.31
DOID:12883	F45.2
DOID:12883	F45.21
DOID:0060843	G60.0
DOID:11554	H18.51
DOID:0060842	Q11.0
DOID:11555	H18.51
DOID:0060844	H35.5
DOID:11557	H65.0
DOID:11557	H65.00
DOID:0060847	Q77.8
DOID:12889	G61.0
DOID:0060849	Q87.5
DOID:0060841	Q11.0
DOID:0060840	Q11.0
DOID:1811	G90.5
DOID:1811	M89.0
DOID:11561	H35.03
DOID:11563	H35.06
DOID:12894	M35.0
DOID:12894	M35.00
DOID:0060854	N25.8
DOID:0060853	Q92.3
DOID:28	E34.9
DOID:0060856	Q20.6
DOID:0060855	N25.8
DOID:10230	I70.0
DOID:26	K86.8
DOID:0060858	E72.0
DOID:0060857	Q04.8
DOID:12857	M76.6
DOID:11527	J38.6
DOID:12858	G10
DOID:0060859	A02.0
DOID:12859	G25.5
DOID:0060850	Q45.1
DOID:0060852	N04.8
DOID:0060851	L10.0
DOID:10223	M33
DOID:10223	M33.9
DOID:10223	M33.90
DOID:0060868	E75.2
DOID:0060861	Q87.2
DOID:0060863	H35.5
DOID:0060862	Q82.8
DOID:11541	H18.83
DOID:1835	G58.7
DOID:0060875	E23.0
DOID:0060878	Q87.8
DOID:0060877	Q80.8
DOID:11502	Q23.3
DOID:48	N50.9
DOID:0060879	E83.4
DOID:12835	G82.5
DOID:12835	G82.50
DOID:11506	H66
DOID:11506	H66.4
DOID:11506	H66.40
DOID:0060870	E23.0
DOID:0060872	E23.0
DOID:47	N42.9
DOID:0060871	Q80.8
DOID:0060874	E23.0
DOID:0060873	E23.0
DOID:12841	B76.0
DOID:0060886	Q78.8
DOID:12842	G61.0
DOID:0060889	Q79.4
DOID:11512	I82.0
DOID:0060888	D47.7
DOID:11514	K14.5
DOID:11516	I11
DOID:11516	I11.9
DOID:11518	H57.09
DOID:12849	F84.0
DOID:0060881	E83.4
DOID:0060880	E83.4
DOID:0060883	E83.4
DOID:0060882	E83.4
DOID:57	I06.1
DOID:0060885	E83.4
DOID:0060884	E83.4
DOID:5379	D58.2
DOID:50	E00-E07
DOID:50	E07.9
DOID:4045	C49
DOID:5378	D58.2
DOID:0060890	E24.3
DOID:0060891	G20
DOID:0060896	G20
DOID:0060895	G20
DOID:61	I05
DOID:61	I05.1
DOID:61	I05.9
DOID:74	D75.9
DOID:77	K92.9
DOID:0002116	Hd11.0
DOID:0002116	H11.00
DOID:0002116	H11.009
DOID:10176	H30.9
DOID:10175	H35.81
DOID:10175	H46.0
DOID:10175	H47.1
DOID:10175	H47.10
DOID:10175	H47.11
DOID:10174	H04.81
DOID:84	M93.2
DOID:84	M93.9
DOID:5225	A85.8
DOID:83	H26
