DO_ID	MESH_ID
DOID:0060345	D016917
DOID:8986	D009290
DOID:14773	C535916
DOID:13444	D005896
DOID:14775	C536198
DOID:0060359	C537227
DOID:0060358	D054069
DOID:13404	D014608
DOID:14735	D054179
DOID:13406	D017565
DOID:14737	C536456
DOID:0060350	C538228
DOID:0060352	C563043
DOID:0060354	C566108
DOID:0060357	C535460
DOID:0060356	C535566
DOID:8931	C536380
DOID:0060360	C566323
DOID:14743	C536820
DOID:7608	D010282
DOID:8936	C537000
DOID:13413	D006501
DOID:14744	C562446
DOID:13417	D004410
DOID:13417	D004411
DOID:14748	D058495
DOID:13419	D055496
DOID:0060362	C535653
DOID:0060364	C537548
DOID:0060366	C537255
DOID:8923	C562393
DOID:8924	D016553
DOID:8929	D005757
DOID:8927	D007859
DOID:14753	C538167
DOID:14711	C537923
DOID:14717	D020914
DOID:0060373	C557817
DOID:0060375	C557819
DOID:0060374	C537133
DOID:0060377	C563104
DOID:0060376	C536531
DOID:0060378	C557820
DOID:8956	D015605
DOID:8955	D000756
DOID:0060380	C563491
DOID:0060382	C557818
DOID:0060381	C557821
DOID:14720	C536194
DOID:14723	C535818
DOID:14725	C537323
DOID:0060384	C538182
DOID:0060383	C538183
DOID:0060386	C535924
DOID:0060385	C538185
DOID:0060387	C537914
DOID:0060389	C567385
DOID:8943	C537935
DOID:8941	D063807
DOID:0060390	C567182
DOID:0060393	C557830
DOID:13401	D000793
DOID:8947	D003930
DOID:14731	C562443
DOID:0060395	C579849
DOID:0050908	D009190
DOID:0060394	C567439
DOID:0060397	C567232
DOID:0050902	D008527
DOID:0050902	D018242
DOID:1498	D002771
DOID:1496	D004443
DOID:1461	D017700
DOID:2790	D009332
DOID:2797	D011658
DOID:1468	D007762
DOID:2799	D001989
DOID:12169	D002349
DOID:13499	D007580
DOID:1455	D005929
DOID:2786	D002526
DOID:12170	D020425
DOID:2785	D003616
DOID:12171	D020425
DOID:1459	D007037
DOID:2789	D011528
DOID:12176	D006042
DOID:1456	D005928
DOID:12177	D017074
DOID:12139	D019263
DOID:1483	D005882
DOID:1485	D003550
DOID:12143	D001750
DOID:1470	D003865
DOID:13481	D013796
DOID:1475	D008202
DOID:1474	D010520
DOID:13482	D016715
DOID:12155	D008216
DOID:12156	D001100
DOID:12157	D008582
DOID:1540	D010282
DOID:2871	D016889
DOID:2871	D018269
DOID:1532	D010995
DOID:2862	D005955
DOID:2861	D000746
DOID:2860	D006453
DOID:1561	D019965
DOID:2891	D013964
DOID:1564	D009181
DOID:1563	D003881
DOID:1562	D002862
DOID:2883	D011470
DOID:1558	D000799
DOID:2889	D012181
DOID:1557	D007105
DOID:1556	D001183
DOID:2828	D042101
DOID:2832	D005847
DOID:5093	D013899
DOID:2825	D009668
DOID:1521	D002430
DOID:1525	D010201
DOID:2856	D005067
DOID:2855	D006981
DOID:2859	D006445
DOID:0090106	C535325
DOID:1526	D015434
DOID:1509	D010554
DOID:1508	D002177
DOID:2841	D001249
DOID:2843	D008133
DOID:2843	D029597
DOID:2842	D029593
DOID:1518	D002429
DOID:1517	D002430
DOID:2848	D003866
DOID:2846	D002012
DOID:2846	D020186
DOID:5063	D002281
DOID:5062	D010623
DOID:0090121	C537422
DOID:0090121	D043204
DOID:0090124	C536614
DOID:14701	D056693
DOID:14702	D019280
DOID:14705	D000168
DOID:5052	D008554
DOID:5050	D002286
DOID:0090112	C536329
DOID:0090119	C535289
DOID:0090118	C535982
DOID:0090117	C536510
DOID:5082	D008103
DOID:0090145	C535600
DOID:0090144	C536390
DOID:0090142	C535408
DOID:2810	D008878
DOID:2815	D003390
DOID:5075	D004806
DOID:5076	D005910
DOID:5077	D001254
DOID:5078	D018303
DOID:5015	C537258
DOID:5041	D004938
DOID:6376	D006971
DOID:0060304	C535730
DOID:0060306	C538012
DOID:0060305	C562829
DOID:7693	D017544
DOID:5032	D010871
DOID:6364	D008881
DOID:5039	D009379
DOID:7698	C536126
DOID:0060438	C535963
DOID:0060439	C562687
DOID:8858	D014067
DOID:11151	D041761
DOID:11153	D008883
DOID:11155	D007007
DOID:11156	D007007
DOID:0060447	C535477
DOID:0060446	C567587
DOID:0060449	C535480
DOID:0060448	C563256
DOID:0060445	C566452
DOID:0060444	C535474
DOID:7514	C536741
DOID:12491	D020421
DOID:11164	C562399
DOID:11168	D003218
